column,null_count,null_percentage
iso_code,0,0.0
continent,26525,6.18
location,0,0.0
date,0,0.0
total_cases,17631,4.11
new_cases,19276,4.49
new_cases_smoothed,20506,4.78
total_deaths,17631,4.11
new_deaths,18827,4.38
new_deaths_smoothed,20057,4.67
total_cases_per_million,17631,4.11
new_cases_per_million,19276,4.49
new_cases_smoothed_per_million,20506,4.78
total_deaths_per_million,17631,4.11
new_deaths_per_million,18827,4.38
new_deaths_smoothed_per_million,20057,4.67
reproduction_rate,244618,56.96
icu_patients,390319,90.89
icu_patients_per_million,390319,90.89
hosp_patients,388779,90.53
hosp_patients_per_million,388779,90.53
weekly_icu_admissions,418442,97.44
weekly_icu_admissions_per_million,418442,97.44
weekly_hosp_admissions,404938,94.3
weekly_hosp_admissions_per_million,404938,94.3
total_tests,350048,81.51
new_tests,354032,82.44
total_tests_per_thousand,350048,81.51
new_tests_per_thousand,354032,82.44
new_tests_smoothed,325470,75.79
new_tests_smoothed_per_thousand,325470,75.79
positive_rate,333508,77.66
tests_per_case,335087,78.03
tests_units,322647,75.13
total_vaccinations,344018,80.11
people_vaccinated,348303,81.11
people_fully_vaccinated,351374,81.82
total_boosters,375835,87.52
new_vaccinations,358464,83.47
new_vaccinations_smoothed,234406,54.58
total_vaccinations_per_hundred,344018,80.11
people_vaccinated_per_hundred,348303,81.11
people_fully_vaccinated_per_hundred,351374,81.82
total_boosters_per_hundred,375835,87.52
new_vaccinations_smoothed_per_million,234406,54.58
new_people_vaccinated_smoothed,237258,55.25
new_people_vaccinated_smoothed_per_hundred,237258,55.25
stringency_index,233245,54.31
population_density,68943,16.05
median_age,94772,22.07
aged_65_older,106165,24.72
aged_70_older,98120,22.85
gdp_per_capita,101143,23.55
extreme_poverty,217439,50.63
cardiovasc_death_rate,100570,23.42
diabetes_prevalence,83524,19.45
female_smokers,182270,42.44
male_smokers,185618,43.22
handwashing_facilities,267694,62.34
hospital_beds_per_thousand,138746,32.31
life_expectancy,39136,9.11
human_development_index,110308,25.69
population,0,0.0
excess_mortality_cumulative_absolute,416024,96.88
excess_mortality_cumulative,416024,96.88
excess_mortality,416024,96.88
excess_mortality_cumulative_per_million,416024,96.88
